# contains logged_avg rows from train_pytorch logging and per-step tqdm_step rows from tqdm output
# gtdual zero-init v3 two-stage run; stage2 initializes from stage1 step 5000
exp	config	source_job_id	job_state	row_type	timestamp	step	total_steps	display_step	loss	lr	grad_norm	interval_time_s	action_loss	action_loss_raw	aux_loss	aux_gt_loss	aux_pi3x_loss	aux_xy_loss	aux_z_loss	aux_scale_mean	aux_gt_frac	aux_pi3x_frac	pytorch_weight_path_override
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage2_gtdual_zeroinit_v3_ahh_4gpu_b32_30k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage2_gtdual	8284105	COMPLETED	logged_avg	17:38:49.704	0		0	0.1637	2.50e-08	1.63	1395.7	0.1487	0.1487	0.0150	0.0097	0.0053	0.1491	0.1510	0.0625	0.5000	0.5000	/scratch/yp2841/geometry-vla/openpi_cam/checkpoints/pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual/pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k/5000
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage2_gtdual_zeroinit_v3_ahh_4gpu_b32_30k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage2_gtdual	8284105	COMPLETED	logged_avg	17:40:55.963	100		100	0.1722	1.29e-06	1.79	126.3	0.1571	0.1571	0.0151	0.0094	0.0057	0.1491	0.1535	0.0594	0.5000	0.5000	/scratch/yp2841/geometry-vla/openpi_cam/checkpoints/pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual/pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k/5000
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage2_gtdual_zeroinit_v3_ahh_4gpu_b32_30k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage2_gtdual	8284105	COMPLETED	logged_avg	17:43:00.934	200		200	0.1571	3.78e-06	1.78	125.0	0.1419	0.1419	0.0153	0.0095	0.0057	0.1491	0.1565	0.0588	0.5000	0.5000	/scratch/yp2841/geometry-vla/openpi_cam/checkpoints/pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual/pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k/5000
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage2_gtdual_zeroinit_v3_ahh_4gpu_b32_30k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage2_gtdual	8284105	COMPLETED	logged_avg	17:45:07.773	300		300	0.1439	6.28e-06	1.76	126.8	0.1285	0.1285	0.0154	0.0097	0.0058	0.1491	0.1599	0.0638	0.5000	0.5000	/scratch/yp2841/geometry-vla/openpi_cam/checkpoints/pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual/pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k/5000
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage2_gtdual_zeroinit_v3_ahh_4gpu_b32_30k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage2_gtdual	8284105	COMPLETED	logged_avg	17:47:10.692	400		400	0.1216	8.78e-06	2.56	122.9	0.1062	0.1062	0.0154	0.0097	0.0057	0.1494	0.1584	0.0625	0.5000	0.5000	/scratch/yp2841/geometry-vla/openpi_cam/checkpoints/pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual/pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k/5000
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage2_gtdual_zeroinit_v3_ahh_4gpu_b32_30k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage2_gtdual	8284105	COMPLETED	logged_avg	17:49:17.734	500		500	0.1117	1.13e-05	2.98	127.0	0.0963	0.0963	0.0154	0.0097	0.0057	0.1495	0.1576	0.0650	0.5000	0.5000	/scratch/yp2841/geometry-vla/openpi_cam/checkpoints/pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual/pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k/5000
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage2_gtdual_zeroinit_v3_ahh_4gpu_b32_30k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage2_gtdual	8284105	COMPLETED	logged_avg	17:51:19.818	600		600	0.1030	1.38e-05	4.27	122.1	0.0877	0.0877	0.0152	0.0095	0.0057	0.1509	0.1531	0.0650	0.5000	0.5000	/scratch/yp2841/geometry-vla/openpi_cam/checkpoints/pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual/pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k/5000
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage2_gtdual_zeroinit_v3_ahh_4gpu_b32_30k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage2_gtdual	8284105	COMPLETED	logged_avg	17:53:28.059	700		700	0.1074	1.63e-05	5.74	128.2	0.0919	0.0919	0.0155	0.0097	0.0058	0.1529	0.1576	0.0400	0.5000	0.5000	/scratch/yp2841/geometry-vla/openpi_cam/checkpoints/pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual/pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k/5000
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage2_gtdual_zeroinit_v3_ahh_4gpu_b32_30k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage2_gtdual	8284105	COMPLETED	logged_avg	17:55:28.530	800		800	0.1070	1.88e-05	5.48	120.5	0.0917	0.0917	0.0152	0.0094	0.0058	0.1533	0.1512	0.0519	0.5000	0.5000	/scratch/yp2841/geometry-vla/openpi_cam/checkpoints/pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual/pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k/5000
pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage2_gtdual_zeroinit_v3_ahh_4gpu_b32_30k	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage2_gtdual	8284105	COMPLETED	logged_avg	17:57:36.405	900		900	0.0984	2.13e-05	5.67	127.9	0.0835	0.0835	0.0149	0.0091	0.0058	0.1540	0.1439	0.0569	0.5000	0.5000	/scratch/yp2841/geometry-vla/openpi_cam/checkpoints/pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual/pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k/5000
