# source_job_id	8258893
# config	pi0_libero_cam_pytorch_prope_ray_view_distill_fullres_stage1_gtdual
# exp	pi0_libero_object_cam_v3_prope_ray_view_distill_fullres_stage1_gtdual_zeroinit_v3_l40s_4gpu_b32_5k
# note	Sparse training log metrics emitted at log_interval, not per-step tqdm values.
step	loss	lr	grad_norm	interval_time_s	action_loss	action_loss_raw	aux_loss	aux_gt_loss	aux_pi3x_loss	aux_xy_loss	aux_z_loss	aux_scale_mean	aux_gt_frac	aux_pi3x_frac
0	0.7005	4.99e-08	0.02	1346.5	0.0223	0.2233	0.6782	0.5271	0.1511	0.2814	0.3968	4.9032	0.5000	0.5000
100	0.7294	2.57e-06	0.02	230.4	0.0201	0.2012	0.7093	0.5294	0.1798	0.2816	0.4277	5.0267	0.5000	0.5000
200	0.7257	7.56e-06	0.03	226.4	0.0195	0.1946	0.7062	0.5298	0.1765	0.2813	0.4249	5.0767	0.5000	0.5000
300	0.7203	1.25e-05	0.37	225.2	0.0182	0.1823	0.7020	0.5261	0.1759	0.2770	0.4250	5.0154	0.5000	0.5000
400	0.6218	1.75e-05	2.24	225.3	0.0180	0.1795	0.6038	0.4406	0.1632	0.2476	0.3562	4.9244	0.5000	0.5000
500	0.5387	2.25e-05	1.17	227.7	0.0170	0.1699	0.5217	0.3630	0.1587	0.2396	0.2821	5.1615	0.5000	0.5000
600	0.5148	2.50e-05	1.64	224.4	0.0167	0.1675	0.4981	0.3485	0.1495	0.2334	0.2647	5.1247	0.5000	0.5000
700	0.4853	2.49e-05	2.42	220.2	0.0171	0.1712	0.4681	0.3269	0.1413	0.2062	0.2619	5.4288	0.5000	0.5000
800	0.4547	2.48e-05	4.63	217.5	0.0172	0.1722	0.4375	0.3102	0.1273	0.1768	0.2608	5.1679	0.5000	0.5000
900	0.4401	2.47e-05	3.36	218.7	0.0164	0.1636	0.4237	0.3044	0.1193	0.1661	0.2576	5.0210	0.5000	0.5000
1000	0.4354	2.44e-05	3.10	230.5	0.0164	0.1638	0.4190	0.2987	0.1203	0.1609	0.2581	4.6789	0.5000	0.5000
1100	0.4300	2.42e-05	6.49	217.1	0.0162	0.1617	0.4138	0.2929	0.1210	0.1600	0.2539	3.9174	0.5000	0.5000
1200	0.4140	2.39e-05	13.37	216.3	0.0165	0.1648	0.3975	0.2502	0.1473	0.1616	0.2360	1.8410	0.5000	0.5000
